27	11	ἔλθῃ
27	12	τὸ
28	1	φασί
28	2	γέ
28	3	τοι
28	4	δὴ
28	6	τούτων
28	7	κύριοι
29	1	οὐ
29	2	τοίνυν
29	4	ἐπιούσης
29	5	ἡμέρας
29	6	οἶμαι
29	7	αὐτὸ
29	8	ἥξειν
29	9	ἀλλὰ
29	11	ἑτέρας
30	1	τεκμαίρομαι
30	3	ἔκ
30	4	τινος
30	5	ἐνυπνίου
30	6	ὃ
30	7	ἑώρακα
30	8	ὀλίγον
30	9	πρότερον
30	12	νυκτός
31	2	κινδυνεύεις
31	3	ἐν
31	4	καιρῷ
31	5	τινι
31	6	οὐκ
31	7	ἐγεῖραί
31	8	με
32	1	ἦν
32	2	δὲ
32	4	τί
32	5	τὸ
32	6	ἐνύπνιον
33	1	ἐδόκει
33	3	μοι
33	4	γυνὴ
33	5	προσελθοῦσα
33	6	καλὴ
33	7	καὶ
33	8	εὐειδής
33	10	λευκὰ
33	11	ἱμάτια
33	12	ἔχουσα
33	14	καλέσαι
33	15	με
33	16	καὶ
33	17	εἰπεῖν
34	1	ὦ
34	2	Σώκρατες
34	4	ἤματί
34	5	κεν
34	6	τριτάτῳ
34	7	Φθίην
34	8	ἐρίβωλον
34	9	ἵκοιο
35	1	ἄτοπον
35	3	ἐνύπνιον
35	5	ὦ
35	6	Σώκρατες
36	1	ἐναργὲς
36	2	μὲν
36	3	οὖν
36	7	μοι
36	8	δοκεῖ
36	10	ὦ
36	11	Κρίτων
37	1	λίαν
37	2	γε
37	4	ὡς
37	5	ἔοικεν
38	1	ἀλλ’
38	3	ὦ
38	4	δαιμόνιε
38	5	Σώκρατες
38	8	καὶ
38	9	νῦν
38	10	ἐμοὶ
38	11	πιθοῦ
38	12	καὶ
38	13	σώθητι
39	1	ὡς
39	2	ἐμοί
39	4	ἐὰν
39	5	σὺ
39	6	ἀποθάνῃς
39	8	οὐ
39	9	μία
39	10	συμφορά
39	11	ἐστιν
39	13	ἀλλὰ
39	15	μὲν
39	16	τοῦ
39	17	ἐστερῆσθαι
39	18	τοιούτου
39	19	ἐπιτηδείου
39	20	οἷον
39	22	οὐδένα
39	23	μή
39	24	ποτε
39	25	εὑρήσω
39	28	δὲ
39	29	καὶ
39	30	πολλοῖς
39	31	δόξω
39	33	οἳ
39	34	ἐμὲ
39	35	καὶ
39	36	σὲ
39	37	μὴ
39	38	σαφῶς
39	39	ἴσασιν
39	41	ὡς
39	42	οἷός
39	43	τ’
39	44	ὤν
39	45	σε
39	46	σῴζειν
39	47	εἰ
39	48	ἤθελον
39	49	ἀναλίσκειν
39	50	χρήματα
39	52	ἀμελῆσαι
40	1	καίτοι
40	2	τίς
40	4	αἰσχίων
40	5	εἴη
40	6	ταύτης
40	7	δόξα
40	8	ἢ
40	9	δοκεῖν
40	10	χρήματα
40	11	περὶ
40	12	πλείονος
40	13	ποιεῖσθαι
40	14	ἢ
40	15	φίλους
41	1	οὐ
41	2	γὰρ
41	3	πείσονται
41	4	οἱ
41	5	πολλοὶ
41	6	ὡς
41	7	σὺ
41	8	αὐτὸς
41	9	οὐκ
41	10	ἠθέλησας
41	11	ἀπιέναι
41	12	ἐνθένδε
41	13	ἡμῶν
41	14	προθυμουμένων
42	1	ἀλλὰ
42	2	τί
42	3	ἡμῖν
42	5	ὦ
42	6	μακάριε
42	7	Κρίτων
42	9	οὕτω
42	11	τῶν
42	12	πολλῶν
42	13	δόξης
42	14	μέλει
43	2	γὰρ
43	3	ἐπιεικέστατοι
43	5	ὧν
